profile	label	frappe_branch	erpnext_branch	python_formula	python_bin	node_formula	node_major	mariadb_formula	mariadb_major_minor	status	support_end	default	mariadb_min	mariadb_max
v15-lts	Frappe/ERPNext v15 LTS	version-15	version-15	python@3.11	python3.11	node@20	20	mariadb@10.11	10.11	supported	2027	yes	10.6	10.11
v16-lts	Frappe/ERPNext v16 LTS	version-16	version-16	python@3.14	python3.14	node@24	24	mariadb@11.8	11.8	supported	2029	no	10.6	11.8
